Player,Nation,Position,Squad,Competition,Age,Matches Played,Starts,Minutes Played,Goals,Assists,Shots,Shots on Target,Pass Completion %,Dribbles Completed,Tackles Won,Interceptions,Yellow Cards,Red Cards,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won %,Goals per 90,Assists per 90,Shots per 90,Shots on Target per 90,Dribbles Completed per 90,Tackles Won per 90,Interceptions per 90,Aerial Duels Won per 90
Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24-130,19,12,1168.0,0.0,1.0,2.0,0.0,77.0,13.0,19.0,6.0,1,0,5.0,10,33.3,0.0,0.07705479452054795,0.1541095890410959,0.0,1.0017123287671232,1.4640410958904109,0.46232876712328763,0.3852739726027397
Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,23-204,29,13,1188.0,2.0,1.0,16.0,7.0,76.3,28.0,18.0,2.0,3,1,13.0,16,44.8,0.15151515151515152,0.07575757575757576,1.2121212121212122,0.5303030303030303,2.121212121212121,1.3636363636363638,0.15151515151515152,0.9848484848484849
Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,20-261,7,1,101.0,0.0,1.0,2.0,2.0,82.0,2.0,2.0,0.0,0,0,3.0,0,100.0,0.0,0.8910891089108911,1.7821782178217822,1.7821782178217822,1.7821782178217822,1.7821782178217822,0.0,2.673267326732673
Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18-038,1,0,4.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,36-228,29,29,2601.0,3.0,0.0,21.0,7.0,84.5,8.0,33.0,37.0,5,0,59.0,34,63.4,0.10380622837370243,0.0,0.7266435986159169,0.24221453287197234,0.2768166089965398,1.1418685121107266,1.2802768166089964,2.041522491349481
Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,24-048,27,17,1519.0,0.0,0.0,5.0,0.0,88.9,7.0,14.0,12.0,2,0,2.0,7,22.2,0.0,0.0,0.29624753127057274,0.0,0.4147465437788018,0.8294930875576036,0.7109940750493746,0.1184990125082291
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,31-102,32,31,2770.0,1.0,1.0,24.0,10.0,84.7,44.0,47.0,59.0,4,0,14.0,14,50.0,0.032490974729241874,0.032490974729241874,0.779783393501805,0.3249097472924188,1.4296028880866427,1.5270758122743684,1.916967509025271,0.45487364620938625
Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21-046,21,11,968.0,5.0,0.0,41.0,18.0,71.4,16.0,3.0,2.0,1,0,15.0,28,34.9,0.46487603305785125,0.0,3.81198347107438,1.6735537190082646,1.487603305785124,0.27892561983471076,0.1859504132231405,1.3946280991735538
Abner,br BRA,DF,Betis,es La Liga,23-352,22,14,1310.0,0.0,0.0,4.0,0.0,77.4,7.0,19.0,15.0,3,0,13.0,10,56.5,0.0,0.0,0.2748091603053435,0.0,0.48091603053435117,1.3053435114503817,1.0305343511450382,0.8931297709923665
Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24-085,13,9,754.0,3.0,0.0,27.0,7.0,71.4,8.0,8.0,1.0,2,0,6.0,7,46.2,0.35809018567639256,0.0,3.222811671087533,0.8355437665782494,0.9549071618037135,0.9549071618037135,0.11936339522546419,0.7161803713527851
Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25-064,24,24,2087.0,0.0,0.0,8.0,2.0,73.0,3.0,17.0,20.0,10,0,34.0,32,51.5,0.0,0.0,0.34499281264973647,0.08624820316243412,0.12937230474365116,0.7331097268806899,0.8624820316243411,1.4662194537613797
Tammy Abraham,eng ENG,FW,Roma,it Serie A,26-224,6,1,172.0,1.0,0.0,2.0,2.0,42.9,2.0,0.0,0.0,1,0,5.0,4,55.6,0.5232558139534884,0.0,1.0465116279069768,1.0465116279069768,1.0465116279069768,0.0,0.0,2.6162790697674416
Francesco Acerbi,it ITA,DF,Inter,it Serie A,36-093,27,24,2208.0,3.0,1.0,15.0,6.0,90.4,2.0,12.0,31.0,1,0,65.0,33,66.3,0.12228260869565218,0.04076086956521739,0.6114130434782609,0.24456521739130435,0.08152173913043478,0.4891304347826087,1.263586956521739,2.6494565217391304
Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18-008,1,0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,32-198,19,16,1160.0,1.0,2.0,9.0,4.0,75.1,9.0,18.0,4.0,6,0,13.0,10,56.5,0.07758620689655173,0.15517241379310345,0.6982758620689655,0.3103448275862069,0.6982758620689655,1.396551724137931,0.3103448275862069,1.0086206896551724
Bénie Adama Traore,ci CIV,"FW,MF",Sheffield Utd,eng Premier League,21-165,8,3,387.0,0.0,0.0,1.0,1.0,77.5,5.0,2.0,1.0,0,0,2.0,18,10.0,0.0,0.0,0.23255813953488372,0.23255813953488372,1.1627906976744184,0.46511627906976744,0.23255813953488372,0.46511627906976744
Bénie Adama Traore,ci CIV,"FW,MF",Nantes,fr Ligue 1,21-165,13,3,443.0,0.0,1.0,5.0,3.0,66.9,9.0,4.0,1.0,1,1,1.0,9,10.0,0.0,0.20316027088036115,1.0158013544018059,0.6094808126410836,1.8284424379232505,0.8126410835214446,0.20316027088036115,0.20316027088036115
Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24-105,31,26,2174.0,8.0,1.0,78.0,32.0,64.3,14.0,4.0,5.0,2,0,53.0,67,44.2,0.3311867525298988,0.04139834406623735,3.229070837166513,1.3247470101195953,0.5795768169273229,0.1655933762649494,0.20699172033118673,2.1941122355105795
Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25-089,3,1,120.0,0.0,0.0,0.0,0.0,83.1,2.0,3.0,4.0,0,0,2.0,3,40.0,0.0,0.0,0.0,0.0,1.5,2.25,3.0,1.5
Junior Adamu,at AUT,"FW,MF",Freiburg,de Bundesliga,22-342,15,0,105.0,0.0,0.0,2.0,1.0,60.0,0.0,1.0,0.0,0,0,5.0,6,45.5,0.0,0.0,1.7142857142857144,0.8571428571428572,0.0,0.8571428571428572,0.0,4.285714285714286
Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,30-356,20,8,801.0,1.0,2.0,31.0,13.0,69.8,7.0,9.0,5.0,2,0,14.0,37,27.5,0.11235955056179775,0.2247191011235955,3.48314606741573,1.460674157303371,0.7865168539325843,1.0112359550561798,0.5617977528089887,1.5730337078651686
Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,26-232,20,18,1617.0,2.0,0.0,14.0,5.0,84.5,1.0,11.0,25.0,2,0,56.0,28,66.7,0.11131725417439704,0.0,0.7792207792207793,0.2782931354359926,0.05565862708719852,0.6122448979591837,1.391465677179963,3.116883116883117
Elijah Adebayo,eng ENG,FW,Luton Town,eng Premier League,26-127,26,15,1344.0,10.0,0.0,30.0,13.0,71.7,17.0,1.0,6.0,1,0,42.0,43,49.4,0.6696428571428571,0.0,2.0089285714285716,0.8705357142857143,1.1383928571428572,0.06696428571428571,0.40178571428571425,2.8125
Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,22-116,20,9,853.0,3.0,1.0,21.0,9.0,72.8,15.0,13.0,3.0,6,1,13.0,9,59.1,0.3165298944900352,0.10550996483001171,2.2157092614302463,0.9495896834701055,1.5826494724501758,1.3716295427901524,0.3165298944900352,1.3716295427901524
Simon Adingra,ci CIV,FW,Brighton,eng Premier League,22-133,29,23,2052.0,6.0,1.0,48.0,22.0,75.7,49.0,20.0,17.0,3,0,8.0,11,42.1,0.2631578947368421,0.043859649122807015,2.1052631578947367,0.9649122807017543,2.1491228070175437,0.8771929824561403,0.7456140350877193,0.3508771929824561
Player,Nation,Pos,Squad,Comp,Age,MP,Starts,,,,,,Cmp%,,,,CrdY,CrdR,,Lost,Won%,,,,,,,,
Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,21-266,15,14,1243.0,0.0,0.0,4.0,0.0,86.4,4.0,9.0,18.0,2,0,30.0,22,57.7,0.0,0.0,0.28962188254223653,0.0,0.28962188254223653,0.6516492357200322,1.3032984714400644,2.1721641190667738
Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24-003,22,7,836.0,4.0,5.0,26.0,14.0,79.5,12.0,5.0,6.0,5,0,20.0,22,47.6,0.43062200956937796,0.5382775119617225,2.799043062200957,1.507177033492823,1.291866028708134,0.5382775119617225,0.645933014354067,2.15311004784689
Yacine Adli,fr FRA,MF,Milan,it Serie A,23-289,23,17,1375.0,1.0,2.0,4.0,1.0,86.4,20.0,17.0,20.0,3,0,15.0,10,60.0,0.06545454545454545,0.1309090909090909,0.2618181818181818,0.06545454545454545,1.309090909090909,1.1127272727272728,1.309090909090909,0.9818181818181819
Adryelson,br BRA,"DF,FW",Lyon,fr Ligue 1,26-051,2,0,6.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
Adson,br BRA,"MF,FW",Nantes,fr Ligue 1,23-220,8,2,238.0,0.0,0.0,5.0,0.0,88.5,5.0,6.0,2.0,0,0,0.0,2,0.0,0.0,0.0,1.8907563025210086,0.0,1.8907563025210086,2.26890756302521,0.7563025210084033,0.0
Michel Aebischer,ch SUI,MF,Bologna,it Serie A,27-128,35,25,2140.0,0.0,1.0,17.0,5.0,91.1,14.0,18.0,12.0,7,0,11.0,16,40.7,0.0,0.042056074766355145,0.7149532710280374,0.2102803738317757,0.588785046728972,0.7570093457943925,0.5046728971962616,0.46261682242990654
Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,26-331,30,27,2416.0,1.0,1.0,32.0,5.0,87.3,14.0,38.0,48.0,1,0,44.0,31,58.7,0.037251655629139076,0.037251655629139076,1.1920529801324504,0.18625827814569537,0.5215231788079471,1.4155629139072847,1.7880794701986755,1.6390728476821192
Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,23-139,1,1,90.0,0.0,0.0,0.0,0.0,70.3,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucien Agoume,fr FRA,MF,Inter,it Serie A,22-094,1,0,5.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0,1.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,22-094,9,6,519.0,0.0,0.0,2.0,0.0,82.7,3.0,11.0,6.0,2,0,7.0,4,63.6,0.0,0.0,0.3468208092485549,0.0,0.5202312138728323,1.9075144508670518,1.0404624277456647,1.2138728323699421
Felix Agu,de GER,"DF,MF",Werder Bremen,de Bundesliga,24-229,23,18,1530.0,0.0,0.0,10.0,0.0,72.8,13.0,28.0,13.0,2,0,14.0,21,40.0,0.0,0.0,0.5882352941176471,0.0,0.7647058823529411,1.647058823529412,0.7647058823529411,0.823529411764706
Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,28-044,21,21,1857.0,1.0,0.0,14.0,3.0,80.1,3.0,14.0,17.0,3,1,48.0,32,60.0,0.048465266558966075,0.0,0.6785137318255251,0.14539579967689822,0.14539579967689822,0.6785137318255251,0.8239095315024233,2.3263327948303716
Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,31-017,24,21,1853.0,1.0,3.0,12.0,4.0,81.5,6.0,30.0,24.0,3,0,24.0,23,51.1,0.048569886670264434,0.1457096600107933,0.5828386400431732,0.19427954668105774,0.2914193200215866,1.457096600107933,1.1656772800863464,1.1656772800863464
Brandon Aguilera,cr CRC,FW,Nott'ham Forest,eng Premier League,20-320,1,0,5.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,22-045,20,0,349.0,0.0,0.0,9.0,2.0,80.2,7.0,9.0,2.0,4,1,3.0,3,50.0,0.0,0.0,2.3209169054441263,0.5157593123209169,1.8051575931232093,2.3209169054441263,0.5157593123209169,0.7736389684813754
Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,eng Premier League,25-048,30,28,2559.0,2.0,0.0,19.0,5.0,75.3,11.0,36.0,34.0,11,1,50.0,37,57.5,0.07033997655334115,0.0,0.6682297772567409,0.17584994138335286,0.38686987104337633,1.2661195779601409,1.1957796014067996,1.7584994138335288
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,28-227,6,4,407.0,0.0,0.0,3.0,0.0,78.4,2.0,3.0,4.0,0,0,14.0,9,60.9,0.0,0.0,0.6633906633906634,0.0,0.44226044226044225,0.6633906633906634,0.8845208845208845,3.095823095823096
Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,27-218,22,20,1692.0,1.0,1.0,11.0,1.0,75.2,27.0,31.0,18.0,3,0,16.0,12,57.1,0.05319148936170213,0.05319148936170213,0.5851063829787234,0.05319148936170213,1.4361702127659572,1.6489361702127658,0.9574468085106382,0.851063829787234
Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,eng Premier League,22-342,32,28,2252.0,2.0,1.0,24.0,8.0,84.7,58.0,42.0,15.0,7,0,21.0,25,45.7,0.07992895204262877,0.03996447602131439,0.9591474245115453,0.3197158081705151,2.3179396092362343,1.678507992895204,0.5994671403197158,0.839253996447602
Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,25-322,18,9,847.0,2.0,0.0,10.0,2.0,77.1,12.0,4.0,2.0,0,1,6.0,8,42.9,0.21251475796930341,0.0,1.062573789846517,0.21251475796930341,1.2750885478158205,0.42502951593860683,0.21251475796930341,0.6375442739079102
Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,26-026,28,21,1831.0,2.0,1.0,12.0,4.0,75.3,10.0,21.0,25.0,5,0,63.0,23,73.3,0.09830693610049153,0.049153468050245765,0.5898416166029492,0.19661387220098306,0.4915346805024577,1.0322228290551612,1.228836701256144,3.0966684871654833
Ludovic Ajorque,fr FRA,FW,Mainz 05,de Bundesliga,30-078,25,15,1342.0,2.0,0.0,27.0,6.0,70.5,2.0,2.0,3.0,4,0,75.0,88,46.0,0.13412816691505217,0.0,1.8107302533532041,0.40238450074515647,0.13412816691505217,0.13412816691505217,0.20119225037257824,5.029806259314456
Manuel Akanji,ch SUI,"DF,MF",Manchester City,eng Premier League,28-299,28,26,2351.0,2.0,0.0,13.0,4.0,93.4,2.0,27.0,23.0,4,1,26.0,27,49.1,0.07656316461080391,0.0,0.4976605699702254,0.15312632922160782,0.07656316461080391,1.0336027222458528,0.880476393024245,0.9953211399404508
Marley Aké,fr FRA,FW,Udinese,it Serie A,23-129,1,0,10.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan Aké,nl NED,DF,Manchester City,eng Premier League,29-085,28,24,2022.0,2.0,2.0,20.0,5.0,92.1,5.0,16.0,14.0,0,0,46.0,28,62.2,0.08902077151335311,0.08902077151335311,0.890207715133531,0.22255192878338276,0.22255192878338276,0.7121661721068249,0.6231454005934718,2.0474777448071215
Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,20-027,28,16,1428.0,2.0,2.0,27.0,6.0,76.6,54.0,21.0,12.0,4,0,3.0,7,30.0,0.12605042016806722,0.12605042016806722,1.7016806722689075,0.37815126050420167,3.403361344537815,1.3235294117647058,0.7563025210084033,0.18907563025210083
Sergio Akieme,es ESP,DF,Almería,es La Liga,26-149,19,19,1675.0,2.0,0.0,9.0,5.0,77.4,21.0,15.0,10.0,2,0,10.0,15,40.0,0.10746268656716418,0.0,0.48358208955223875,0.26865671641791045,1.1283582089552238,0.8059701492537313,0.5373134328358209,0.5373134328358209
