,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,League
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
Simon Adingra,ci CIV,FW,Brighton,22-232,2002,1,0,46,0.5,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,2,0,7,1.96,0.00,1.96,1.96,1.96,0.33,0.00,0.33,0.33,0.33,Matches,Premier League
Ola Aina,ng NGA,DF,Nott'ham Forest,27-317,1996,1,1,53,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,Premier League
Rayan Aït-Nouri,dz ALG,DF,Wolves,23-075,2001,1,1,83,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,Premier League
Kristoffer Ajer,no NOR,DF,Brentford,26-125,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,2,3,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.28,0.28,0.28,Matches,Premier League
Manuel Akanji,ch SUI,DF,Manchester City,29-032,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Carlos Alcaraz,ar ARG,MF,Southampton,21-264,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.00,0.00,0.00,0.00,0.00,0.62,0.86,1.48,0.62,1.48,Matches,Premier League
Trent Alexander-Arnold,eng ENG,DF,Liverpool,25-318,1998,1,1,76,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.7,2,5,0,0.00,0.00,0.00,0.00,0.00,0.07,0.79,0.85,0.07,0.85,Matches,Premier League
Alisson,br BRA,GK,Liverpool,31-323,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Samuel Amo-Ameyaw,eng ENG,DF,Southampton,18-033,2006,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.18,0.62,0.80,0.18,0.80,Matches,Premier League
Joachim Andersen,dk DEN,DF,Crystal Palace,28-081,1996,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,Premier League
Elliot Anderson,sct SCO,FW,Nott'ham Forest,21-288,2002,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Premier League
Michail Antonio,jm JAM,FW,West Ham,34-145,1990,1,1,72,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,1,2,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19,Matches,Premier League
