Player,Nation,Pos,Squad,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Progression - PrgR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG,Matches,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,Expected - xA,Expected - A-xAG,KP,1/3,PPA,CrsPA,PrgP,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR,League
Aaron Cresswell,eng ENG,DF,West Ham,32,1989,28,24,"2,235",24.8,0,1,1,0,0,0,3,0,0.3,0.3,3.7,4.0,35,145,82,0.00,0.04,0.04,0.00,0.04,0.01,0.15,0.16,0.01,0.16,Matches,24.8,0,9,1,11.1,0.36,0.04,0.00,0.00,22.5,4,0,0,0.04,-0.3,-0.3,1127,1448,77.8,18285,8587,626,670,93.4,387,497,77.9,100,206,48.5,1,3.7,2.9,-2.7,40,91,28,15,145,73,2.94,43,27,0,2,1,0,1,0.04,0,1,0,0,0,0,21,11,12,7,2,12,31,38.7,19,21,11,10,27,48,56,0,1607,97,507,668,438,13,1607,7,2,28.6,4,57.1,766,3497,1751,35,26,1,6,6,960,82,Premier League
Aaron Hickey,sct SCO,DF,Brentford,20,2002,26,23,"1,916",21.3,0,1,1,0,0,0,7,0,0.4,0.4,0.4,0.8,41,81,47,0.00,0.05,0.05,0.00,0.05,0.02,0.02,0.04,0.02,0.04,Matches,21.3,0,11,2,18.2,0.52,0.09,0.00,0.00,21.5,0,0,0,0.04,-0.4,-0.4,695,838,82.9,10998,3275,373,411,90.8,265,310,85.5,46,80,57.5,1,0.4,0.6,+0.6,6,62,13,4,81,20,0.94,14,1,1,2,2,0,2,0.09,1,0,0,1,0,0,38,26,27,11,0,18,32,56.3,14,18,7,11,17,55,32,1,1028,47,328,499,211,21,1028,45,17,37.8,18,40.0,616,3295,1802,41,17,3,16,13,624,47,Premier League
Aaron Ramsdale,eng ENG,GK,Arsenal,24,1998,38,38,"3,420",38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,38.0,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,761,1111,68.5,18974,13109,190,196,96.9,383,390,98.2,186,519,35.8,0,0.0,0.0,0.0,0,30,2,0,8,3,0.08,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,20,6,1196,872,1170,28,0,0,1196,1,1,100.0,0,0.0,722,3934,2459,0,1,0,0,0,629,0,Premier League
Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,24,1997,19,16,"1,435",15.9,0,0,0,0,0,0,2,0,1.2,1.2,1.0,2.2,41,55,64,0.00,0.00,0.00,0.00,0.00,0.07,0.06,0.14,0.07,0.14,Matches,15.9,0,10,2,20.0,0.63,0.13,0.00,0.00,14.7,0,0,0,0.12,-1.2,-1.2,706,840,84.0,9538,3292,448,483,92.8,194,240,80.8,28,44,63.6,0,1.0,0.9,-1.0,15,48,10,2,55,30,1.88,29,0,0,1,0,0,1,0.06,1,0,0,0,0,0,40,25,20,17,3,23,25,92.0,2,24,8,16,22,62,41,0,1026,75,346,400,286,44,1026,35,17,48.6,18,51.4,524,2614,1370,41,24,4,14,10,600,64,Premier League
Abdoulaye Doucouré,ml MLI,MF,Everton,29,1993,25,17,"1,533",17.0,5,2,7,5,0,0,6,1,2.4,2.4,2.2,4.6,23,38,66,0.29,0.12,0.41,0.29,0.41,0.14,0.13,0.27,0.14,0.27,Matches,17.0,5,20,8,40.0,1.17,0.47,0.25,0.63,13.2,0,0,0,0.12,+2.6,+2.6,430,548,78.5,5637,1333,262,317,82.6,140,170,82.4,7,13,53.8,2,2.2,1.4,-0.2,22,29,10,0,38,45,2.65,38,0,3,2,0,2,3,0.18,3,0,0,0,0,0,31,20,9,15,7,12,37,32.4,25,26,3,23,13,44,11,0,713,18,156,327,242,45,713,33,20,60.6,11,33.3,371,1689,896,23,16,7,27,13,440,66,Premier League
Adam Armstrong,eng ENG,"FW,MF",Southampton,25,1997,30,14,"1,335",14.8,2,1,3,2,0,0,2,0,2.1,2.1,1.3,3.3,39,16,70,0.13,0.07,0.20,0.13,0.20,0.14,0.09,0.23,0.14,0.23,Matches,14.8,2,25,12,48.0,1.69,0.81,0.08,0.17,15.9,0,0,0,0.08,-0.1,-0.1,220,302,72.8,3235,585,120,146,82.2,71,89,79.8,13,23,56.5,1,1.3,0.8,-0.3,11,13,10,2,16,24,1.62,19,0,2,1,1,1,2,0.13,1,0,0,0,0,1,14,9,6,5,3,3,10,30.0,7,15,3,12,5,19,6,0,458,11,71,176,222,46,458,43,13,30.2,25,58.1,255,2338,996,39,29,11,24,22,273,70,Premier League
Adam Forshaw,eng ENG,MF,Leeds United,30,1991,12,5,479,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.9,0.9,4,33,7,0.00,0.00,0.00,0.00,0.00,0.01,0.16,0.17,0.01,0.17,Matches,5.3,0,1,0,0.0,0.19,0.00,0.00,,26.4,0,0,0,0.03,0.0,0.0,196,244,80.3,3318,1127,102,111,91.9,59,67,88.1,28,51,54.9,0,0.9,0.6,-0.9,8,30,4,2,33,16,3.00,10,6,0,0,0,0,0,0.00,0,0,0,0,0,0,12,9,5,7,0,7,17,41.2,10,9,1,8,4,16,2,0,293,7,64,171,62,1,293,11,8,72.7,3,27.3,179,1085,360,4,8,0,6,8,186,7,Premier League
Adam Lallana,eng ENG,"MF,FW",Brighton,34,1988,16,12,722,8.0,2,1,3,2,0,0,0,0,0.9,0.9,1.0,1.9,10,33,43,0.25,0.12,0.37,0.25,0.37,0.11,0.12,0.23,0.11,0.23,Matches,8.0,2,8,5,62.5,1.00,0.62,0.25,0.40,13.3,0,0,0,0.11,+1.1,+1.1,262,317,82.6,3033,656,173,194,89.2,57,74,77.0,6,9,66.7,1,1.0,1.2,0.0,14,23,9,1,33,22,2.75,22,0,0,0,0,0,2,0.25,2,0,0,0,0,0,9,4,6,2,1,0,7,0.0,7,6,0,6,2,11,1,0,373,6,43,180,151,33,373,6,3,50.0,3,50.0,206,839,420,10,4,4,15,11,295,43,Premier League
Adam Smith,eng ENG,DF,Bournemouth,31,1991,37,34,"2,943",32.7,0,1,1,0,0,0,11,0,0.5,0.5,1.3,1.8,28,83,54,0.00,0.03,0.03,0.00,0.03,0.02,0.04,0.05,0.02,0.05,Matches,32.7,0,5,1,20.0,0.15,0.03,0.00,0.00,16.2,0,0,0,0.10,-0.5,-0.5,953,1264,75.4,16233,6898,450,513,87.7,398,501,79.4,88,194,45.4,1,1.3,1.5,-0.3,16,70,28,19,83,29,0.89,25,1,0,2,0,1,2,0.06,2,0,0,0,0,0,49,29,27,19,3,29,60,48.3,31,30,13,17,25,74,81,1,1527,112,602,650,296,17,1527,30,6,20.0,17,56.7,647,2762,1368,28,21,3,21,4,771,54,Premier League
Adam Webster,eng ENG,DF,Brighton,27,1995,27,23,"1,985",22.1,0,0,0,0,0,0,2,0,1.8,1.8,0.2,1.9,19,119,9,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09,Matches,22.1,0,18,2,11.1,0.82,0.09,0.00,0.00,11.2,0,0,0,0.10,-1.8,-1.8,1514,1715,88.3,27890,10260,565,612,92.3,811,886,91.5,125,178,70.2,0,0.2,0.4,-0.2,6,120,5,1,119,20,0.91,19,1,0,0,0,0,1,0.05,1,0,0,0,0,0,22,12,10,9,3,11,19,57.9,8,30,19,11,19,41,55,4,1888,170,819,969,108,27,1888,8,3,37.5,4,50.0,1228,6306,3739,19,18,0,11,5,1369,9,Premier League
